Date,Close,High,Low,Open,currency_pair
12/20/2024,1.03649497,1.043307662,1.034425735,1.03649497,EUR/USD
12/23/2024,1.043307662,1.044822931,1.038594127,1.043307662,EUR/USD
12/24/2024,1.040582657,1.041124463,1.038745165,1.040582657,EUR/USD
12/25/2024,1.040257931,1.043296814,1.040149808,1.040257931,EUR/USD
12/26/2024,1.039955139,1.042535424,1.039144635,1.039955139,EUR/USD
12/27/2024,1.042318106,1.044495463,1.040669441,1.042318106,EUR/USD
12/30/2024,1.042937756,1.045850039,1.037419677,1.042937756,EUR/USD
12/31/2024,1.040615201,1.042426825,1.034853935,1.040615201,EUR/USD
1/2/2025,1.035186052,1.037559628,1.023185372,1.035186052,EUR/USD
1/3/2025,1.02682054,1.030534744,1.026546478,1.02682054,EUR/USD
1/6/2025,1.030534744,1.043503642,1.029632807,1.030534744,EUR/USD
1/7/2025,1.03863728,1.043623447,1.035947323,1.03863728,EUR/USD
1/8/2025,1.034554124,1.035840034,1.027675271,1.034554124,EUR/USD
1/9/2025,1.03147018,1.03231132,1.028616071,1.03147018,EUR/USD
1/10/2025,1.029760122,1.031193614,1.022118688,1.029760122,EUR/USD
1/13/2025,1.02444315,1.025020719,1.018381834,1.02444315,EUR/USD
1/14/2025,1.026525378,1.0303967,1.0239712,1.026525378,EUR/USD
1/15/2025,1.030683517,1.035025239,1.027063131,1.030683517,EUR/USD
1/16/2025,1.02952683,1.031151056,1.026377916,1.02952683,EUR/USD
1/17/2025,1.030194998,1.032972455,1.026651859,1.030194998,EUR/USD
1/20/2025,1.02773869,1.042731047,1.027939439,1.02773869,EUR/USD
1/21/2025,1.042068243,1.043405652,1.034457803,1.042068243,EUR/USD
1/22/2025,1.040593505,1.045806289,1.040073991,1.040593505,EUR/USD
1/23/2025,1.041015983,1.042546272,1.038561821,1.041015983,EUR/USD
1/24/2025,1.041601539,1.051934004,1.041319609,1.041601539,EUR/USD
1/27/2025,1.046758652,1.053374529,1.045434594,1.046758652,EUR/USD
1/28/2025,1.044506431,1.045576692,1.041525602,1.044506431,EUR/USD
1/29/2025,1.042905092,1.044495463,1.038346171,1.042905092,EUR/USD
1/30/2025,1.042524576,1.046550632,1.039133787,1.042524576,EUR/USD
1/31/2025,1.039727926,1.041232824,1.036205053,1.039727926,EUR/USD
2/3/2025,1.024779201,1.032652497,1.021304369,1.024779201,EUR/USD
2/4/2025,1.032737851,1.038680434,1.027654171,1.032737851,EUR/USD
2/5/2025,1.037279844,1.043645263,1.037043214,1.037279844,EUR/USD
2/6/2025,1.040084839,1.040528655,1.035453916,1.040084839,EUR/USD
2/7/2025,1.03857255,1.040593505,1.03246057,1.03857255,EUR/USD
2/10/2025,1.031161666,1.033602357,1.029950976,1.031161666,EUR/USD
2/11/2025,1.030152559,1.035196662,1.029272556,1.030152559,EUR/USD
2/12/2025,1.03649497,1.039565921,1.03182137,1.03649497,EUR/USD
2/13/2025,1.039198637,1.044571877,1.03792572,1.039198637,EUR/USD
2/14/2025,1.046167374,1.051369905,1.044811964,1.046167374,EUR/USD
2/17/2025,1.048921704,1.050707102,1.046736836,1.048921704,EUR/USD
2/18/2025,1.048536777,1.048646688,1.04427731,1.048536777,EUR/USD
2/19/2025,1.044833779,1.046244025,1.040506959,1.044833779,EUR/USD
2/20/2025,1.042100906,1.04787755,1.041970611,1.042100906,EUR/USD
2/21/2025,1.050056219,1.050751328,1.044997573,1.050056219,EUR/USD
2/24/2025,1.047482371,1.052864313,1.045434594,1.047482371,EUR/USD
2/25/2025,1.046134472,1.051845431,1.045795321,1.046134472,EUR/USD
2/26/2025,1.052410007,1.052742481,1.047646999,1.052410007,EUR/USD
2/27/2025,1.048877716,1.048987746,1.040485263,1.048877716,EUR/USD
2/28/2025,1.0395118,1.042100906,1.038184404,1.0395118,EUR/USD
3/3/2025,1.041384697,1.050023079,1.03904736,1.041384697,EUR/USD
3/4/2025,1.048503757,1.055955052,1.047175288,1.048503757,EUR/USD
3/5/2025,1.062699318,1.078585744,1.060287952,1.062699318,EUR/USD
